"","id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
"1",544331,"1 corner bedroom with lots of light",2676438,"Srdjan","Manhattan","Upper East Side",40.77471,-73.94893,"Entire home/apt",110,30,16,2018-08-07,0.16,1,0
"2",14506086,"Cute Lofted Apt.",22847606,"Patricia","Staten Island","Prince's Bay",40.52198,-74.18037,"Entire home/apt",145,30,15,2018-08-07,0.27,1,0
"3",19456350,"Bright, Spacious Penthouse Near Park",126144914,"Miles","Manhattan","Upper West Side",40.77948,-73.98525,"Entire home/apt",250,30,5,2018-08-07,0.11,1,0
"4",21487004,"Gorgeous Apartment in Literally Perfect Location",87236554,"Annie","Manhattan","Gramercy",40.73389,-73.98604,"Private room",106,30,39,2018-08-07,0.96,1,0
"5",21560584,"Haute Brand New East Village Manhattan Apartment",3949502,"Páidi","Manhattan","East Village",40.72845,-73.98857,"Private room",50,14,13,2018-08-07,0.31,1,0
"6",26304188,"luxurious & light-filled apartment in williamsburg",32543699,"Lucia","Brooklyn","Williamsburg",40.7154,-73.95712,"Entire home/apt",160,30,3,2018-08-07,0.09,2,0
"7",2735650,"DISCOUNTED Entire Apt:  Prime UWS location!",13968910,"Mike","Manhattan","Upper West Side",40.79545,-73.97323,"Entire home/apt",140,30,19,2018-08-08,0.22,1,0
"8",14756273,"Large private room in Astoria, 20 mins to mid-town",68276808,"Summer","Queens","Ditmars Steinway",40.77402,-73.91757,"Private room",50,30,10,2018-08-08,0.23,1,0
"9",21741106,"(moving out) ENTIRE place READ BEFORE YOU BOOK",64609445,"Ina","Brooklyn","Clinton Hill",40.69614,-73.96663,"Entire home/apt",46,30,7,2018-08-08,0.18,2,0
"10",26350983,"Gorgeous One-Bed in Williamsburg, BK",39456887,"Janie","Brooklyn","Williamsburg",40.71262,-73.96577,"Entire home/apt",125,30,1,2018-08-08,0.03,1,0
"11",27583483,"River View!",4565786,"Mosh","Manhattan","Upper East Side",40.77361,-73.94499,"Entire home/apt",120,30,1,2018-08-08,0.03,1,360
"12",19812,"2 bedroom Williamsburg Apt - Bedford L stop",74857,"Starlee","Brooklyn","Williamsburg",40.71802,-73.95724,"Entire home/apt",105,30,61,2018-08-09,0.45,1,344
"13",13671558,"Spacious private room in Harlem",7127392,"Nzingha","Manhattan","Harlem",40.80552,-73.95734,"Private room",62,30,36,2018-08-09,0.62,1,0
"14",1109182,"Harlem Historian/Musician near Columbia",6088893,"Karen","Manhattan","Harlem",40.82203,-73.95656,"Private room",50,30,11,2018-08-10,0.14,2,0
"15",2752977,"Carroll Gardens townhouse",14081811,"Linda","Brooklyn","Carroll Gardens",40.67997,-74.00156,"Entire home/apt",325,30,12,2018-08-10,0.15,1,0
"16",3626426,"Gorgeous! Newly Renovated 2-BR Flat",13347167,"AFI Apartments","Manhattan","Upper East Side",40.7713,-73.95753,"Entire home/apt",80,30,3,2018-08-10,0.05,30,342
"17",11984115,"Sunny 1 BR Apt in Bed Stuy",25810,"Sasha","Brooklyn","Bedford-Stuyvesant",40.68347,-73.95045,"Entire home/apt",75,30,7,2018-08-10,0.11,1,0
